engine,grade,trades,net,gross_profit,gross_loss,win_rate,profit_factor,avg,avg_win,avg_loss,largest_win,largest_loss,win_count,loss_count
MRV,B,1082.0,7400749.43,8218662.29,-817912.86,80.96118299445472,10.048334843396399,6839.879325323474,9382.03457762557,-3970.450776699029,52460.0,-18300.0,876.0,206.0
MRV,A,8257.0,44935013.31,58647150.67,-13712137.36,72.37495458398934,4.2770247358432245,5442.0507823664775,9813.780232597055,-6011.458728627795,53900.0,-72540.0,5976.0,2281.0
