side,exit_reason,trades,net,gross_profit,gross_loss,win_rate,profit_factor,avg,avg_win,avg_loss,largest_win,largest_loss,win_count,loss_count
buy,sl,31.0,-47.55,3.16,-50.71,29.03225806451613,0.06231512522184974,-1.5338709677419353,0.35111111111111115,-2.414761904761905,0.96,-2.95,9.0,21.0
sell,sl,6.0,-11.01,0,-11.01,0.0,0.0,-1.835,0.0,-1.835,0.0,-2.66,0.0,6.0
sell,manual/exit_loss,1.0,-1.03,0,-1.03,0.0,0.0,-1.03,0.0,-1.03,0.0,-1.03,0.0,1.0
buy,tp,14.0,31.810000000000002,31.810000000000002,0,100.0,0.0,2.2721428571428572,2.2721428571428572,0.0,2.95,0.0,14.0,0.0
