exit_reason,trades,net,gross_profit,gross_loss,win_rate,profit_factor,avg,avg_win,avg_loss,largest_win,largest_loss,win_count,loss_count
sl,90.0,-71.8,154.62,-226.42000000000002,54.44444444444444,0.682890204045579,-0.7977777777777777,3.155510204081633,-5.522439024390244,12.13,-14.02,49.0,41.0
manual/exit_loss,5.0,-21.02,0,-21.02,0.0,0.0,-4.204,0.0,-4.204,0.0,-7.27,0.0,5.0
manual/exit_profit,1.0,0.25,0.25,0,100.0,0.0,0.25,0.25,0.0,0.25,0.0,1.0,0.0
tp,10.0,79.24,79.24,0,100.0,0.0,7.9239999999999995,7.9239999999999995,0.0,11.76,0.0,10.0,0.0
