preset,note,report_path,net_profit,profit_pct,profit_factor,expected_payoff,total_trades,win_rate,balance_dd_pct,equity_dd_pct
control_adx28,Round 1 champion reference.,/Users/naufalrachmandani/Library/Application Support/net.metaquotes.wine.metatrader5/drive_c/Program Files/MetaTrader 5/Reports/InvictusForward1M15_v8_round2_control_adx28_XAUUSDc_M15_20260101_20260415.htm,30.04,30.04,1.89,0.42,72,59.72,7.02,7.76
adx28_hard,ADX 28 plus fully suppress buy in bearish regime.,/Users/naufalrachmandani/Library/Application Support/net.metaquotes.wine.metatrader5/drive_c/Program Files/MetaTrader 5/Reports/InvictusForward1M15_v8_round2_adx28_hard_XAUUSDc_M15_20260101_20260415.htm,30.49,30.490000000000002,1.89,0.43,71,60.56,6.69,7.63
adx28_hard_keep_sideways,Hard bearish buy suppression but keep sideways active.,/Users/naufalrachmandani/Library/Application Support/net.metaquotes.wine.metatrader5/drive_c/Program Files/MetaTrader 5/Reports/InvictusForward1M15_v8_round2_adx28_hard_keep_sideways_XAUUSDc_M15_20260101_20260415.htm,30.49,30.490000000000002,1.89,0.43,71,60.56,6.69,7.63
adx28_hard_close3,Hard bearish mode with shorter H4 breakdown lookback.,/Users/naufalrachmandani/Library/Application Support/net.metaquotes.wine.metatrader5/drive_c/Program Files/MetaTrader 5/Reports/InvictusForward1M15_v8_round2_adx28_hard_close3_XAUUSDc_M15_20260101_20260415.htm,31.89,31.89,1.97,0.46,70,61.43,5.66,8.99
adx28_hard_close5,Hard bearish mode with deeper H4 breakdown confirmation.,/Users/naufalrachmandani/Library/Application Support/net.metaquotes.wine.metatrader5/drive_c/Program Files/MetaTrader 5/Reports/InvictusForward1M15_v8_round2_adx28_hard_close5_XAUUSDc_M15_20260101_20260415.htm,27.19,27.190000000000005,1.81,0.39,69,60.87,7.39,8.53
adx28_buy95_risk000,Default score floor but zero buy risk inside bearish regime.,/Users/naufalrachmandani/Library/Application Support/net.metaquotes.wine.metatrader5/drive_c/Program Files/MetaTrader 5/Reports/InvictusForward1M15_v8_round2_adx28_buy95_risk000_XAUUSDc_M15_20260101_20260415.htm,30.49,30.490000000000002,1.89,0.43,71,60.56,6.69,7.63
adx28_buy95_risk015,Default score floor with tiny residual buy risk inside bearish regime.,/Users/naufalrachmandani/Library/Application Support/net.metaquotes.wine.metatrader5/drive_c/Program Files/MetaTrader 5/Reports/InvictusForward1M15_v8_round2_adx28_buy95_risk015_XAUUSDc_M15_20260101_20260415.htm,30.52,30.519999999999996,1.92,0.42,72,59.72,6.66,7.41
adx28_buy101_risk015,Hard score gate but keep tiny buy participation in bearish regime.,/Users/naufalrachmandani/Library/Application Support/net.metaquotes.wine.metatrader5/drive_c/Program Files/MetaTrader 5/Reports/InvictusForward1M15_v8_round2_adx28_buy101_risk015_XAUUSDc_M15_20260101_20260415.htm,30.49,30.490000000000002,1.89,0.43,71,60.56,6.69,7.63
adx26_hard,More sensitive bearish regime with hard buy suppression.,/Users/naufalrachmandani/Library/Application Support/net.metaquotes.wine.metatrader5/drive_c/Program Files/MetaTrader 5/Reports/InvictusForward1M15_v8_round2_adx26_hard_XAUUSDc_M15_20260101_20260415.htm,29.27,29.270000000000003,1.85,0.42,69,57.97,6.65,7.61
adx30_hard,Stricter bearish regime with hard buy suppression.,/Users/naufalrachmandani/Library/Application Support/net.metaquotes.wine.metatrader5/drive_c/Program Files/MetaTrader 5/Reports/InvictusForward1M15_v8_round2_adx30_hard_XAUUSDc_M15_20260101_20260415.htm,30.49,30.490000000000002,1.89,0.43,71,60.56,6.69,7.63
adx28_hard_sell100,Hard bearish mode without extra sell risk boost.,/Users/naufalrachmandani/Library/Application Support/net.metaquotes.wine.metatrader5/drive_c/Program Files/MetaTrader 5/Reports/InvictusForward1M15_v8_round2_adx28_hard_sell100_XAUUSDc_M15_20260101_20260415.htm,30.49,30.490000000000002,1.89,0.43,71,60.56,6.69,7.63
adx28_hard_sell140,Hard bearish mode with larger sell risk boost.,/Users/naufalrachmandani/Library/Application Support/net.metaquotes.wine.metatrader5/drive_c/Program Files/MetaTrader 5/Reports/InvictusForward1M15_v8_round2_adx28_hard_sell140_XAUUSDc_M15_20260101_20260415.htm,30.49,30.490000000000002,1.89,0.43,71,60.56,6.69,7.63
