entry_time,exit_time,entry_month,entry_date,entry_hour,side,volume,entry_price,exit_price,profit,balance,hold_minutes,exit_reason,family,engine,code,score,grade,regime_tag,hour_tag,tags,score_bucket,entry_comment,exit_comment,match_error
2026-03-15 23:00:00,2026-03-16 03:40:31,2026-03,2026-03-15,23,buy,0.01,72766.18,74023.41,12.57,168.87,280.51666666666665,sl,SBTC,BO,S81,0,,,,,unknown,SBTC|BO|S81|B,sl 74026.67,0.002300000000104774
2026-03-19 04:15:00,2026-03-19 07:21:29,2026-03,2026-03-19,4,sell,0.01,70869.76,69704.55,11.65,193.51,186.48333333333332,tp,SBTC,PB,S74,0,,,,,unknown,SBTC|PB|S74|S,tp 69704.83,0.0020999999999187224
2026-03-11 16:00:00,2026-03-11 17:26:05,2026-03,2026-03-11,16,buy,0.01,70260.84,71316.02,10.55,130.55,86.08333333333333,tp,SBTC,PB,S80,0,,,,,unknown,SBTC|PB|S80|B,tp 71313.36,0.001800000000075741
2026-03-10 00:45:00,2026-03-10 03:02:36,2026-03,2026-03-10,0,buy,0.01,69200.31,70214.39,10.14,133.45,137.6,sl,SBTC,BO,S85,0,,,,,unknown,SBTC|BO|S85|B,sl 70216.23,0.0008000000000176755
2026-03-10 01:45:00,2026-03-10 02:34:27,2026-03,2026-03-10,1,buy,0.01,68985.16,69934.7,9.5,123.31,49.45,tp,SBTC,PB,S68,0,,,,,unknown,SBTC|PB|S68|B,tp 69931.94,0.004600000000063886
2026-03-15 22:30:00,2026-03-15 22:52:20,2026-03,2026-03-15,22,buy,0.01,71951.73,72784.56,8.33,149.27,22.333333333333332,tp,SBTC,PB,S78,0,,,,,unknown,SBTC|PB|S78|B,tp 72781.00,0.0016999999999818272
2026-03-13 00:15:00,2026-03-13 08:37:53,2026-03,2026-03-13,0,buy,0.01,71142.56,71967.93,8.25,116.58,502.8833333333333,sl,SBTC,BO,S87,0,,,,,unknown,SBTC|BO|S87|B,sl 71968.61,0.0036999999999540734
2026-03-19 06:30:00,2026-03-19 07:15:37,2026-03,2026-03-19,6,sell,0.01,70726.77,69909.37,8.18,181.86,45.61666666666667,tp,SBTC,PB,S73,0,,,,,unknown,SBTC|PB|S73|S,tp 69912.00,0.0059999999999114095
2026-03-16 23:30:00,2026-03-17 00:13:31,2026-03,2026-03-16,23,buy,0.01,74622.85,75392.36,7.69,190.95,43.516666666666666,tp,SBTC,PB,S84,0,,,,,unknown,SBTC|PB|S84|B,tp 75391.27,0.005099999999947258
2026-03-16 01:30:00,2026-03-16 03:33:20,2026-03,2026-03-16,1,buy,0.01,72664.73,73368.41,7.03,156.3,123.33333333333333,tp,SBTC,PB,S83,0,,,,,unknown,SBTC|PB|S83|B,tp 73366.32,0.006800000000075634
2026-03-16 17:00:00,2026-03-16 21:38:27,2026-03,2026-03-16,17,buy,0.01,73780.66,74483.0,7.02,180.37,278.45,sl,SBTC,PB,S79,0,,,,,unknown,SBTC|PB|S79|B,sl 74483.17,0.0033999999999654307
2026-03-20 01:15:00,2026-03-20 08:31:36,2026-03,2026-03-20,1,buy,0.01,70399.74,71099.18,6.99,178.96,436.6,sl,SBTC,PB,S75,0,,,,,unknown,SBTC|PB|S75|B,sl 71101.15,0.004399999999877835
2026-03-22 20:30:00,2026-03-22 21:05:37,2026-03,2026-03-22,20,sell,0.01,68321.21,67637.55,6.83,181.26,35.61666666666667,tp,SBTC,PB,S71,0,,,,,unknown,SBTC|PB|S71|S,tp 67638.47,0.006600000000035244
2026-03-10 04:15:00,2026-03-10 08:06:38,2026-03,2026-03-10,4,buy,0.01,69740.23,70420.69,6.81,140.26,231.63333333333333,sl,SBTC,PB,S83,0,,,,,unknown,SBTC|PB|S83|B,sl 70425.20,0.005399999999935012
2026-03-22 22:45:00,2026-03-23 00:41:14,2026-03,2026-03-22,22,sell,0.01,68114.9,67439.85,6.75,192.1,116.23333333333333,tp,SBTC,PB,S82,0,,,,,unknown,SBTC|PB|S82|S,tp 67440.38,0.0004999999998833715
2026-03-16 22:15:00,2026-03-17 01:42:37,2026-03,2026-03-16,22,buy,0.01,74877.3,75539.25,6.62,197.43,207.61666666666667,sl,SBTC,BO,S96,0,,,,,unknown,SBTC|BO|S96|B,sl 75540.27,0.0005000000000290328
2026-03-22 18:30:00,2026-03-22 18:36:37,2026-03,2026-03-22,18,sell,0.02,68692.36,68368.52,6.48,172.7,6.616666666666666,tp,SBTC,PB,S81,0,,,,,unknown,SBTC|PB|S81|S,tp 68370.06,0.0032000000000698137
2026-03-10 06:30:00,2026-03-10 08:45:37,2026-03,2026-03-10,6,buy,0.01,70152.69,70758.37,6.05,146.31,135.61666666666667,sl,SBTC,PB,S72,0,,,,,unknown,SBTC|PB|S72|B,sl 70760.66,0.006799999999930861
2026-03-11 15:30:00,2026-03-11 17:36:28,2026-03,2026-03-11,15,buy,0.01,70228.41,70792.96,5.65,136.2,126.46666666666667,sl,SBTC,PB,S77,0,,,,,unknown,SBTC|PB|S77|B,sl 70793.84,0.004499999999970861
2026-03-21 11:45:00,2026-03-21 14:11:36,2026-03,2026-03-21,11,buy,0.02,70640.26,70902.97,5.25,171.66,146.6,tp,SBTC,PB,S73,0,,,,,unknown,SBTC|PB|S73|B,tp 70901.26,0.004200000000127879
2026-03-15 08:00:00,2026-03-15 09:00:18,2026-03,2026-03-15,8,buy,0.02,71474.42,71736.26,5.24,139.36,60.3,tp,SBTC,PB,S76,0,,,,,unknown,SBTC|PB|S76|B,tp 71735.42,0.0032000000000698137
2026-03-20 01:45:00,2026-03-20 08:31:36,2026-03,2026-03-20,1,buy,0.01,70577.48,71099.18,5.22,184.18,406.6,sl,SBTC,BO,S89,0,,,,,unknown,SBTC|BO|S89|B,sl 71101.15,0.0030000000000285354
2026-03-17 09:45:00,2026-03-17 10:06:30,2026-03,2026-03-17,9,sell,0.01,74184.1,73701.53,4.82,182.96,21.5,tp,SBTC,PB,S75,0,,,,,unknown,SBTC|PB|S75|S,tp 73702.23,0.005700000000069316
2026-03-13 09:30:00,2026-03-13 11:08:40,2026-03,2026-03-13,9,buy,0.01,71840.38,72319.65,4.8,125.16,98.66666666666667,sl,SBTC,PB,S74,0,,,,,unknown,SBTC|PB|S74|B,sl 72319.77,0.007300000000104667
2026-03-13 08:45:00,2026-03-13 12:34:36,2026-03,2026-03-13,8,buy,0.01,71948.8,72408.48,4.59,129.75,229.6,sl,SBTC,BO,S82,0,,,,,unknown,SBTC|BO|S82|B,sl 72411.50,0.006799999999929973
2026-03-15 17:45:00,2026-03-15 17:54:37,2026-03,2026-03-15,17,buy,0.01,71552.0,71962.9,4.11,138.62,9.616666666666667,tp,SBTC,PB,S80,0,,,,,unknown,SBTC|PB|S80|B,tp 71961.04,0.0010000000000580656
2026-03-22 20:00:00,2026-03-22 21:06:38,2026-03,2026-03-22,20,sell,0.01,68198.49,67789.14,4.09,185.35,66.63333333333334,sl,SBTC,BO,S92,0,,,,,unknown,SBTC|BO|S92|S,sl 67788.87,0.0035000000000584564
2026-03-21 04:00:00,2026-03-21 14:12:37,2026-03,2026-03-21,4,buy,0.01,70664.64,71062.04,3.97,175.63,612.6166666666667,tp,SBTC,PB,S70,0,,,,,unknown,SBTC|PB|S70|B,tp 71060.73,0.003999999999941828
2026-03-19 13:30:00,2026-03-19 13:42:38,2026-03,2026-03-19,13,buy,0.01,69353.82,69739.93,3.86,190.61,12.633333333333333,tp,SBTC,RV,S76,0,,,,,unknown,SBTC|RV|S76|B,tp 69739.35,0.0010999999998606569
2026-03-13 07:45:00,2026-03-13 08:37:53,2026-03,2026-03-13,7,buy,0.01,71590.41,71967.93,3.78,120.36,52.88333333333333,sl,SBTC,PB,S68,0,,,,,unknown,SBTC|PB|S68|B,sl 71968.61,0.0048000000001047205
2026-03-22 00:30:00,2026-03-22 04:22:21,2026-03,2026-03-22,0,buy,0.01,68892.21,69255.31,3.63,172.7,232.35,sl,SBTC,RV,S75,0,,,,,unknown,SBTC|RV|S75|B,sl 69255.65,0.0009999999999128484
2026-03-08 00:00:00,2026-03-08 02:50:52,2026-03,2026-03-08,0,sell,0.01,67262.94,66904.3,3.59,153.74,170.86666666666667,tp,SBTC,PB,S71,0,,,,,unknown,SBTC|PB|S71|S,tp 66905.28,0.0036000000000058208
2026-03-20 08:45:00,2026-03-20 09:19:03,2026-03,2026-03-20,8,sell,0.01,71104.64,70745.83,3.59,187.77,34.05,tp,SBTC,RV,S80,0,,,,,unknown,SBTC|RV|S80|S,tp 70747.56,0.0019000000000231054
2026-03-16 15:15:00,2026-03-16 19:13:03,2026-03,2026-03-16,15,buy,0.01,73698.52,74053.9,3.55,173.35,238.05,sl,SBTC,PB,S79,0,,,,,unknown,SBTC|PB|S79|B,sl 74054.21,0.0037999999999014378
2026-03-16 10:30:00,2026-03-16 12:35:37,2026-03,2026-03-16,10,buy,0.01,73463.21,73795.19,3.32,172.19,125.61666666666666,sl,SBTC,PB,S82,0,,,,,unknown,SBTC|PB|S82|B,sl 73799.44,0.0002000000000403901
2026-03-15 08:45:00,2026-03-15 09:09:38,2026-03,2026-03-15,8,buy,0.01,71597.04,71924.39,3.27,142.63,24.633333333333333,tp,SBTC,PB,S69,0,,,,,unknown,SBTC|PB|S69|B,tp 71922.64,0.0035000000000584564
2026-03-22 06:45:00,2026-03-22 08:04:41,2026-03,2026-03-22,6,sell,0.01,69172.62,68847.88,3.25,178.59,79.68333333333334,sl,SBTC,PB,S74,0,,,,,unknown,SBTC|PB|S74|S,sl 68847.39,0.0026000000000929724
