engine,regime_tag,trades,net,gross_profit,gross_loss,win_rate,profit_factor,avg,avg_win,avg_loss,largest_win,largest_loss,win_count,loss_count
MRV,WG,22.0,-3.58,1.83,-5.41,45.45454545454545,0.33826247689463956,-0.16272727272727272,0.183,-0.45083333333333336,0.83,-0.86,10.0,12.0
MRV,RG,6.0,-0.08000000000000002,0.79,-0.87,66.66666666666666,0.9080459770114943,-0.013333333333333336,0.1975,-0.435,0.73,-0.59,4.0,2.0
