engine,score_bucket,trades,net,gross_profit,gross_loss,win_rate,profit_factor,avg,avg_win,avg_loss,largest_win,largest_loss,win_count,loss_count
MRV,S70-79,11.0,-2.37,0.8099999999999999,-3.18,27.27272727272727,0.2547169811320754,-0.21545454545454545,0.26999999999999996,-0.3975,0.73,-0.86,3.0,8.0
MRV,S80-89,11.0,-1.38,0.64,-2.02,63.63636363636363,0.31683168316831684,-0.12545454545454546,0.09142857142857143,-0.505,0.46,-0.72,7.0,4.0
MRV,S00-69,6.0,0.08999999999999998,1.17,-1.08,66.66666666666666,1.0833333333333333,0.014999999999999998,0.2925,-0.54,0.83,-0.86,4.0,2.0
