entry_month,trades,net,gross_profit,gross_loss,win_rate,profit_factor,avg,avg_win,avg_loss,largest_win,largest_loss,win_count,loss_count
2026-01,51.0,-0.3399999999999995,44.56,-44.9,60.78431372549019,0.9924276169265034,-0.0066666666666666576,1.4374193548387098,-2.245,2.74,-2.99,31.0,20.0
2026-03,36.0,0.7800000000000005,33.57,-32.79,63.888888888888886,1.0237877401646844,0.02166666666666668,1.4595652173913043,-2.522307692307692,2.99,-3.18,23.0,13.0
2026-05,10.0,1.1000000000000003,7.4,-6.3,70.0,1.1746031746031746,0.11000000000000003,1.0571428571428572,-2.1,2.12,-2.36,7.0,3.0
2026-04,8.0,9.06,10.84,-1.78,87.5,6.089887640449438,1.1325,1.5485714285714285,-1.78,2.96,-1.78,7.0,1.0
2026-02,42.0,31.09,52.5,-21.41,78.57142857142857,2.452125175151798,0.7402380952380953,1.5909090909090908,-2.378888888888889,2.97,-3.74,33.0,9.0
