side,exit_reason,trades,net,gross_profit,gross_loss,win_rate,profit_factor,avg,avg_win,avg_loss,largest_win,largest_loss,win_count,loss_count
buy,sl,64.0,-76.02,7.68,-83.7,42.1875,0.09175627240143369,-1.1878125,0.28444444444444444,-2.2621621621621624,0.86,-3.53,27.0,37.0
sell,sl,17.0,-20.68,2.8000000000000003,-23.48,47.05882352941176,0.1192504258943782,-1.2164705882352942,0.35000000000000003,-2.608888888888889,0.86,-3.74,8.0,9.0
sell,tp,8.0,18.12,18.12,0,100.0,0.0,2.265,2.265,0.0,2.9,0.0,8.0,0.0
buy,tp,58.0,120.27,120.27,0,100.0,0.0,2.0736206896551725,2.0736206896551725,0.0,2.99,0.0,58.0,0.0
