side,trades,net,gross_profit,gross_loss,win_rate,profit_factor,avg,avg_win,avg_loss,largest_win,largest_loss,win_count,loss_count
sell,25.0,-2.56,20.92,-23.48,64.0,0.8909710391822828,-0.1024,1.3075,-2.608888888888889,2.9,-3.74,16.0,9.0
buy,122.0,44.25,127.95,-83.7,69.67213114754098,1.528673835125448,0.36270491803278687,1.505294117647059,-2.2621621621621624,2.99,-3.53,85.0,37.0
