engine,regime_tag,trades,net,gross_profit,gross_loss,win_rate,profit_factor,avg,avg_win,avg_loss,largest_win,largest_loss,win_count,loss_count
CBK,WG,3.0,-0.77,1.01,-1.78,66.66666666666666,0.5674157303370786,-0.25666666666666665,0.505,-1.78,0.79,-1.78,2.0,1.0
IMP,,144.0,42.46,147.86,-105.4,68.75,1.4028462998102467,0.29486111111111113,1.4935353535353537,-2.3422222222222224,2.99,-3.74,99.0,45.0
