preset,note,report_path,net_profit,profit_pct,profit_factor,expected_payoff,total_trades,win_rate,balance_dd_pct,equity_dd_pct
close3_control,Round 2 champion reference.,/Users/naufalrachmandani/Library/Application Support/net.metaquotes.wine.metatrader5/drive_c/Program Files/MetaTrader 5/Reports/InvictusForward1M15_v8_round3_close3_control_XAUUSDc_M15_20260101_20260415.htm,31.89,31.89,1.97,0.46,70,61.43,5.66,8.99
close3_trend195,Slight trend risk uplift on close3 champion.,/Users/naufalrachmandani/Library/Application Support/net.metaquotes.wine.metatrader5/drive_c/Program Files/MetaTrader 5/Reports/InvictusForward1M15_v8_round3_close3_trend195_XAUUSDc_M15_20260101_20260415.htm,27.41,27.41,1.8,0.4,68,61.76,6.13,9.7
close3_trend210,Moderate trend risk uplift on close3 champion.,/Users/naufalrachmandani/Library/Application Support/net.metaquotes.wine.metatrader5/drive_c/Program Files/MetaTrader 5/Reports/InvictusForward1M15_v8_round3_close3_trend210_XAUUSDc_M15_20260101_20260415.htm,30.09,30.09,1.81,0.44,69,60.87,6.64,10.3
close3_trend225,Aggressive trend risk uplift on close3 champion.,/Users/naufalrachmandani/Library/Application Support/net.metaquotes.wine.metatrader5/drive_c/Program Files/MetaTrader 5/Reports/InvictusForward1M15_v8_round3_close3_trend225_XAUUSDc_M15_20260101_20260415.htm,32.75,32.75,1.82,0.47,69,60.87,7.15,10.85
close3_trend195_side065,Lift both trend and sideways risk slightly.,/Users/naufalrachmandani/Library/Application Support/net.metaquotes.wine.metatrader5/drive_c/Program Files/MetaTrader 5/Reports/InvictusForward1M15_v8_round3_close3_trend195_side065_XAUUSDc_M15_20260101_20260415.htm,27.57,27.57,1.79,0.39,71,59.15,6.32,9.65
close3_trend210_side065,Moderate trend risk plus modest sideways risk uplift.,/Users/naufalrachmandani/Library/Application Support/net.metaquotes.wine.metatrader5/drive_c/Program Files/MetaTrader 5/Reports/InvictusForward1M15_v8_round3_close3_trend210_side065_XAUUSDc_M15_20260101_20260415.htm,30.2,30.2,1.81,0.43,71,59.15,6.86,10.34
close3_trend210_side070,Moderate trend risk plus stronger sideways risk uplift.,/Users/naufalrachmandani/Library/Application Support/net.metaquotes.wine.metatrader5/drive_c/Program Files/MetaTrader 5/Reports/InvictusForward1M15_v8_round3_close3_trend210_side070_XAUUSDc_M15_20260101_20260415.htm,29.94,29.94,1.78,0.4,74,56.76,6.98,10.33
risk015_close3,Keep tiny buy participation in bearish regime plus faster regime detection.,/Users/naufalrachmandani/Library/Application Support/net.metaquotes.wine.metatrader5/drive_c/Program Files/MetaTrader 5/Reports/InvictusForward1M15_v8_round3_risk015_close3_XAUUSDc_M15_20260101_20260415.htm,32.6,32.6,2.05,0.45,73,58.9,6.97,8.99
risk015_close3_trend195,Tiny bearish buy participation plus slight trend risk uplift.,/Users/naufalrachmandani/Library/Application Support/net.metaquotes.wine.metatrader5/drive_c/Program Files/MetaTrader 5/Reports/InvictusForward1M15_v8_round3_risk015_close3_trend195_XAUUSDc_M15_20260101_20260415.htm,28.24,28.24,1.87,0.4,70,60.0,7.56,9.7
risk015_close3_trend210,Tiny bearish buy participation plus moderate trend risk uplift.,/Users/naufalrachmandani/Library/Application Support/net.metaquotes.wine.metatrader5/drive_c/Program Files/MetaTrader 5/Reports/InvictusForward1M15_v8_round3_risk015_close3_trend210_XAUUSDc_M15_20260101_20260415.htm,31.04,31.04,1.88,0.44,71,59.15,7.91,10.3
