engine,regime_tag,trades,net,gross_profit,gross_loss,win_rate,profit_factor,avg,avg_win,avg_loss,largest_win,largest_loss,win_count,loss_count
MRV,RG,8.0,7.45,10.0,-2.55,75.0,3.9215686274509807,0.93125,1.6666666666666667,-1.275,3.73,-1.41,6.0,2.0
MRV,WG,18.0,19.21,32.97,-13.76,66.66666666666666,2.396075581395349,1.0672222222222223,2.7475,-2.2933333333333334,4.1,-4.65,12.0,6.0
