preset,note,report_path,net_profit,profit_pct,profit_factor,expected_payoff,total_trades,win_rate,balance_dd_pct,equity_dd_pct
seed,Current v7 seed.,/Users/naufalrachmandani/Library/Application Support/net.metaquotes.wine.metatrader5/drive_c/Program Files/MetaTrader 5/Reports/InvictusForward1M15_v7_round1_seed_XAUUSDc_M15_20260101_20260415.htm,1.91,1.91,1.19,0.04,46,45.65,4.25,5.42
risk_090_030,Raise both trend and sideways risk.,/Users/naufalrachmandani/Library/Application Support/net.metaquotes.wine.metatrader5/drive_c/Program Files/MetaTrader 5/Reports/InvictusForward1M15_v7_round1_risk_090_030_XAUUSDc_M15_20260101_20260415.htm,2.71,2.71,1.17,0.06,45,44.44,6.75,8.61
risk_120_040,More aggressive risk increase.,/Users/naufalrachmandani/Library/Application Support/net.metaquotes.wine.metatrader5/drive_c/Program Files/MetaTrader 5/Reports/InvictusForward1M15_v7_round1_risk_120_040_XAUUSDc_M15_20260101_20260415.htm,3.48,3.4799999999999995,1.15,0.07,47,42.55,8.99,11.34
risk_150_050,Push exposure harder while keeping filters.,/Users/naufalrachmandani/Library/Application Support/net.metaquotes.wine.metatrader5/drive_c/Program Files/MetaTrader 5/Reports/InvictusForward1M15_v7_round1_risk_150_050_XAUUSDc_M15_20260101_20260415.htm,4.92,4.92,1.17,0.1,47,42.55,11.5,14.42
risk_120_040_pos4,Higher risk plus one extra trend slot.,/Users/naufalrachmandani/Library/Application Support/net.metaquotes.wine.metatrader5/drive_c/Program Files/MetaTrader 5/Reports/InvictusForward1M15_v7_round1_risk_120_040_pos4_XAUUSDc_M15_20260101_20260415.htm,3.48,3.4799999999999995,1.15,0.07,47,42.55,8.99,11.34
risk_120_040_sell080,Higher risk plus slightly looser sell haircut.,/Users/naufalrachmandani/Library/Application Support/net.metaquotes.wine.metatrader5/drive_c/Program Files/MetaTrader 5/Reports/InvictusForward1M15_v7_round1_risk_120_040_sell080_XAUUSDc_M15_20260101_20260415.htm,3.48,3.4799999999999995,1.15,0.07,47,42.55,8.99,11.34
risk_120_040_buy105,Higher risk plus smaller high-score buy boost.,/Users/naufalrachmandani/Library/Application Support/net.metaquotes.wine.metatrader5/drive_c/Program Files/MetaTrader 5/Reports/InvictusForward1M15_v7_round1_risk_120_040_buy105_XAUUSDc_M15_20260101_20260415.htm,3.6,3.6000000000000005,1.16,0.08,47,42.55,8.88,11.04
risk_120_040_toxic_relax_11,Re-open hour 11 only.,/Users/naufalrachmandani/Library/Application Support/net.metaquotes.wine.metatrader5/drive_c/Program Files/MetaTrader 5/Reports/InvictusForward1M15_v7_round1_risk_120_040_toxic_relax_11_XAUUSDc_M15_20260101_20260415.htm,8.92,8.92,1.35,0.17,52,44.23,8.67,11.08
risk_120_040_toxic_relax_9_11,Re-open hours 9 and 11.,/Users/naufalrachmandani/Library/Application Support/net.metaquotes.wine.metatrader5/drive_c/Program Files/MetaTrader 5/Reports/InvictusForward1M15_v7_round1_risk_120_040_toxic_relax_9_11_XAUUSDc_M15_20260101_20260415.htm,2.04,2.04,1.07,0.03,59,38.98,12.11,13.24
risk_120_040_buybreak_024,Higher risk plus looser buy break threshold.,/Users/naufalrachmandani/Library/Application Support/net.metaquotes.wine.metatrader5/drive_c/Program Files/MetaTrader 5/Reports/InvictusForward1M15_v7_round1_risk_120_040_buybreak_024_XAUUSDc_M15_20260101_20260415.htm,3.48,3.4799999999999995,1.15,0.07,47,42.55,8.99,11.34
risk_120_040_sell80,Higher risk plus slightly looser sell score gate.,/Users/naufalrachmandani/Library/Application Support/net.metaquotes.wine.metatrader5/drive_c/Program Files/MetaTrader 5/Reports/InvictusForward1M15_v7_round1_risk_120_040_sell80_XAUUSDc_M15_20260101_20260415.htm,3.48,3.4799999999999995,1.15,0.07,47,42.55,8.99,11.34
