side,trades,net,gross_profit,gross_loss,win_rate,profit_factor,avg,avg_win,avg_loss,largest_win,largest_loss,win_count,loss_count
sell,68.0,-8.92,55.67,-64.59,64.70588235294117,0.8618981266449914,-0.13117647058823528,1.2652272727272729,-2.69125,5.14,-3.87,44.0,24.0
buy,64.0,-5.949999999999999,63.02,-68.97,67.1875,0.9137306075105118,-0.09296874999999999,1.4655813953488372,-3.2842857142857143,5.16,-3.84,43.0,21.0
