exit_reason,trades,net,gross_profit,gross_loss,win_rate,profit_factor,avg,avg_win,avg_loss,largest_win,largest_loss,win_count,loss_count
sl,115.0,-56.949999999999996,72.32,-129.27,64.34782608695652,0.559449214821691,-0.4952173913043478,0.9772972972972972,-3.152926829268293,2.9,-3.87,74.0,41.0
manual/exit_loss,4.0,-4.29,0,-4.29,0.0,0.0,-1.0725,0.0,-1.0725,0.0,-2.03,0.0,4.0
manual/exit_profit,1.0,0.55,0.55,0,100.0,0.0,0.55,0.55,0.0,0.55,0.0,1.0,0.0
tp,12.0,45.82,45.82,0,100.0,0.0,3.8183333333333334,3.8183333333333334,0.0,5.16,0.0,12.0,0.0
