preset,note,report_path,net_profit,profit_pct,profit_factor,expected_payoff,total_trades,win_rate,balance_dd_pct,equity_dd_pct
baseline_sell85,Official current v6 defaults.,/Users/naufalrachmandani/Library/Application Support/net.metaquotes.wine.metatrader5/drive_c/Program Files/MetaTrader 5/Reports/InvictusForward1M15_v6_round3_baseline_sell85_XAUUSDc_M15_20260101_20260415.htm,-27.89,-27.889999999999997,0.92,-0.05,589,49.24,59.96,61.39
toxic_8_10,Block trend entries on hours 08 and 10.,/Users/naufalrachmandani/Library/Application Support/net.metaquotes.wine.metatrader5/drive_c/Program Files/MetaTrader 5/Reports/InvictusForward1M15_v6_round3_toxic_8_10_XAUUSDc_M15_20260101_20260415.htm,12.54,12.54,1.04,0.02,562,51.07,40.25,41.51
toxic_7_8_10,"Block trend entries on hours 07, 08, and 10.",/Users/naufalrachmandani/Library/Application Support/net.metaquotes.wine.metatrader5/drive_c/Program Files/MetaTrader 5/Reports/InvictusForward1M15_v6_round3_toxic_7_8_10_XAUUSDc_M15_20260101_20260415.htm,39.27,39.27,1.11,0.07,541,51.76,32.37,36.96
toxic_8_9_10,"Block trend entries on hours 08, 09, and 10.",/Users/naufalrachmandani/Library/Application Support/net.metaquotes.wine.metatrader5/drive_c/Program Files/MetaTrader 5/Reports/InvictusForward1M15_v6_round3_toxic_8_9_10_XAUUSDc_M15_20260101_20260415.htm,18.91,18.91,1.06,0.03,549,51.37,39.58,40.86
toxic_7_9_10,"Block trend entries on hours 07, 09, and 10.",/Users/naufalrachmandani/Library/Application Support/net.metaquotes.wine.metatrader5/drive_c/Program Files/MetaTrader 5/Reports/InvictusForward1M15_v6_round3_toxic_7_9_10_XAUUSDc_M15_20260101_20260415.htm,12.49,12.49,1.04,0.02,548,51.28,41.18,42.42
toxic_7_8,Block trend entries on hours 07 and 08 only.,/Users/naufalrachmandani/Library/Application Support/net.metaquotes.wine.metatrader5/drive_c/Program Files/MetaTrader 5/Reports/InvictusForward1M15_v6_round3_toxic_7_8_XAUUSDc_M15_20260101_20260415.htm,12.56,12.560000000000002,1.04,0.02,549,50.82,42.99,44.23
toxic_7_8_9_10,"Block trend entries on hours 07, 08, 09, and 10.",/Users/naufalrachmandani/Library/Application Support/net.metaquotes.wine.metatrader5/drive_c/Program Files/MetaTrader 5/Reports/InvictusForward1M15_v6_round3_toxic_7_8_9_10_XAUUSDc_M15_20260101_20260415.htm,40.03,40.03,1.11,0.08,527,51.99,30.21,35.14
toxic_7_8_10_11,"Block trend entries on hours 07, 08, 10, and 11.",/Users/naufalrachmandani/Library/Application Support/net.metaquotes.wine.metatrader5/drive_c/Program Files/MetaTrader 5/Reports/InvictusForward1M15_v6_round3_toxic_7_8_10_11_XAUUSDc_M15_20260101_20260415.htm,48.95,48.95,1.13,0.09,521,52.21,30.82,37.25
high_buy_impulsive,Require impulsive BOS for high-score buys.,/Users/naufalrachmandani/Library/Application Support/net.metaquotes.wine.metatrader5/drive_c/Program Files/MetaTrader 5/Reports/InvictusForward1M15_v6_round3_high_buy_impulsive_XAUUSDc_M15_20260101_20260415.htm,-17.71,-17.71,0.94,-0.03,566,51.24,50.61,52.4
toxic_7_8_10_impulsive,Combine 07/08/10 toxic block with impulsive high-score buys.,/Users/naufalrachmandani/Library/Application Support/net.metaquotes.wine.metatrader5/drive_c/Program Files/MetaTrader 5/Reports/InvictusForward1M15_v6_round3_toxic_7_8_10_impulsive_XAUUSDc_M15_20260101_20260415.htm,25.91,25.91,1.07,0.05,539,51.39,28.98,34.18
toxic_7_8_9_10_impulsive,Combine 07/08/09/10 toxic block with impulsive high-score buys.,/Users/naufalrachmandani/Library/Application Support/net.metaquotes.wine.metatrader5/drive_c/Program Files/MetaTrader 5/Reports/InvictusForward1M15_v6_round3_toxic_7_8_9_10_impulsive_XAUUSDc_M15_20260101_20260415.htm,44.98,44.98,1.13,0.09,516,52.71,25.48,32.02
toxic_7_8_10_break036,Combine 07/08/10 toxic block with stronger buy break threshold.,/Users/naufalrachmandani/Library/Application Support/net.metaquotes.wine.metatrader5/drive_c/Program Files/MetaTrader 5/Reports/InvictusForward1M15_v6_round3_toxic_7_8_10_break036_XAUUSDc_M15_20260101_20260415.htm,11.04,11.04,1.03,0.02,532,51.32,37.61,39.77
