version,report_path,tester_log,net_profit,profit_factor,expected_payoff,total_trades,win_rate,balance_dd_abs,balance_dd_pct,equity_dd_abs,equity_dd_pct
v1,/Users/naufalrachmandani/Library/Application Support/net.metaquotes.wine.metatrader5/drive_c/Program Files/MetaTrader 5/Reports/InvictusForward1M15_v1_compare_6m_100_XAUUSDc_M15_20251018_20260415.htm,/Users/naufalrachmandani/Library/Application Support/net.metaquotes.wine.metatrader5/drive_c/Program Files/MetaTrader 5/Tester/logs/20260418.log,-91.91,0.31,-2.3,40,35.0,93.31,92.02,115.09,93.43
v4,/Users/naufalrachmandani/Library/Application Support/net.metaquotes.wine.metatrader5/drive_c/Program Files/MetaTrader 5/Reports/InvictusForward1M15_v4_compare_6m_100_XAUUSDc_M15_20251018_20260415.htm,/Users/naufalrachmandani/Library/Application Support/net.metaquotes.wine.metatrader5/drive_c/Program Files/MetaTrader 5/Tester/logs/20260418.log,208.73,1.04,0.19,1079,50.42,1258.81,89.74,1332.56,89.89
v5,/Users/naufalrachmandani/Library/Application Support/net.metaquotes.wine.metatrader5/drive_c/Program Files/MetaTrader 5/Reports/InvictusForward1M15_v5_compare_6m_100_XAUUSDc_M15_20251018_20260415.htm,/Users/naufalrachmandani/Library/Application Support/net.metaquotes.wine.metatrader5/drive_c/Program Files/MetaTrader 5/Tester/logs/20260418.log,278.04,1.2,0.41,672,52.08,230.53,52.61,248.65,54.24
