source,open_time,close_time,ticket,side,volume,open_price,close_price,pnl,deal
vps,20:47:51.262,20:47:58.085,187657839,buy,0.04,4724.425,4723.974,-1.8,182084195
vps,20:49:56.923,20:50:02.841,187658391,buy,0.04,4723.979,4723.612,-1.47,182084510
vps,21:07:18.522,21:07:24.566,187662643,sell,0.04,4724.708,4724.937,-0.92,182086269
vps,21:31:01.833,21:31:07.145,187666105,buy,0.04,4723.587,4723.033,-2.22,182087353
vps,22:01:23.032,22:01:29.563,187671341,buy,0.04,4723.484,4722.843,-2.56,182089000
