exit_reason,trades,net,gross_profit,gross_loss,win_rate,profit_factor,avg,avg_win,avg_loss,largest_win,largest_loss,win_count,loss_count
sl,33.0,-44.83,5.13,-49.96,27.27272727272727,0.10268214571657326,-1.3584848484848484,0.57,-2.0816666666666666,1.24,-2.89,9.0,24.0
tp,11.0,29.79,29.79,0,100.0,0.0,2.708181818181818,2.708181818181818,0.0,3.85,0.0,11.0,0.0
