side,trades,net,gross_profit,gross_loss,win_rate,profit_factor,avg,avg_win,avg_loss,largest_win,largest_loss,win_count,loss_count
buy,38.0,-11.219999999999999,31.94,-43.16,47.368421052631575,0.7400370713623726,-0.29526315789473684,1.7744444444444445,-2.158,3.85,-2.89,18.0,20.0
sell,6.0,-3.8200000000000007,2.98,-6.800000000000001,33.33333333333333,0.438235294117647,-0.6366666666666668,1.49,-1.7000000000000002,2.38,-2.37,2.0,4.0
