entry_time,exit_time,entry_month,entry_date,entry_hour,side,volume,entry_price,exit_price,profit,balance,hold_minutes,exit_reason,family,engine,code,score,grade,regime_tag,hour_tag,tags,score_bucket,entry_comment,exit_comment,match_error
2026-05-01 04:03:00,2026-05-01 04:03:22,2026-05,2026-05-01,4,buy,0.01,4628.337,4626.961,-1.38,98.62,0.36666666666666664,sl,AC1,TPL,TPL,86,A,,,BULL,S80-89,AC1|TPL|S86|A|BULL,sl 4626.977,1.366239999999998
2026-05-01 10:57:00,2026-05-01 10:59:33,2026-05,2026-05-01,10,sell,0.01,4567.729,4567.134,0.6,99.22,2.55,sl,AC1,TPL,TPL,92,A,,,BEAR,S90-99,AC1|TPL|S92|A|BEAR,sl 4567.100,0.5940499999999974
2026-05-01 10:59:00,2026-05-01 10:59:33,2026-05,2026-05-01,10,sell,0.01,4567.193,4567.197,-0.01,99.21,0.55,sl,AC1,TPL,TPL,92,A,,,BEAR,S90-99,AC1|TPL|S92|A|BEAR,sl 4567.143,0.009960000000000946
2026-05-01 11:11:00,2026-05-01 11:11:41,2026-05,2026-05-01,11,sell,0.01,4565.831,4563.445,2.38,101.59,0.6833333333333333,tp,AC1,TPL,TPL,86,A,,,BEAR,S80-89,AC1|TPL|S86|A|BEAR,tp 4563.608,2.3561399999999955
2026-05-04 04:18:00,2026-05-04 04:19:31,2026-05,2026-05-04,4,buy,0.01,4612.967,4611.478,-1.49,100.1,1.5166666666666666,sl,AC1,CBK,CBK,87,A,WG,,WG,S80-89,AC1|CBK|S87|A|WG,sl 4611.504,1.4751100000000041
2026-05-04 08:24:00,2026-05-04 08:25:38,2026-05,2026-05-04,8,sell,0.01,4576.929,4579.295,-2.37,97.73,1.6333333333333333,sl,AC1,TPL,TPL,86,A,,,BEAR,S80-89,AC1|TPL|S86|A|BEAR,sl 4579.142,2.34634
2026-05-04 08:39:00,2026-05-04 08:39:22,2026-05,2026-05-04,8,sell,0.01,4576.078,4578.318,-2.18,95.55,0.36666666666666664,sl,AC1,TPL,TPL,92,A,,,BEAR,S90-99,AC1|TPL|S92|A|BEAR,sl 4578.226,2.157600000000002
2026-05-04 08:37:00,2026-05-04 08:39:22,2026-05,2026-05-04,8,sell,0.01,4576.139,4578.318,-2.24,93.31,2.3666666666666667,sl,AC1,TPL,TPL,92,A,,,BEAR,S90-99,AC1|TPL|S92|A|BEAR,sl 4578.242,2.218209999999999
2026-05-06 04:10:00,2026-05-06 04:15:00,2026-05,2026-05-06,4,buy,0.01,4646.166,4648.249,2.08,95.39,5.0,tp,AC1,TPL,TPL,91,A,,,BULL,S90-99,AC1|TPL|S91|A|BULL,tp 4648.066,2.059170000000004
2026-05-06 04:12:00,2026-05-06 04:15:05,2026-05,2026-05-06,4,buy,0.01,4646.484,4648.669,2.19,97.58,3.0833333333333335,tp,AC1,TPL,TPL,91,A,,,BULL,S90-99,AC1|TPL|S91|A|BULL,tp 4648.407,2.168150000000005
