engine,score_bucket,trades,net,gross_profit,gross_loss,win_rate,profit_factor,avg,avg_win,avg_loss,largest_win,largest_loss,win_count,loss_count
TPL,S80-89,15.0,-10.35,10.21,-20.56,33.33333333333333,0.4965953307392997,-0.69,2.0420000000000003,-2.056,3.85,-2.76,5.0,10.0
TPL,S90-99,27.0,-3.9899999999999998,23.92,-27.91,51.85185185185185,0.8570404872805447,-0.14777777777777776,1.7085714285714286,-2.146923076923077,3.25,-2.89,14.0,13.0
CBK,S80-89,1.0,-1.49,0,-1.49,0.0,0.0,-1.49,0.0,-1.49,0.0,-1.49,0.0,1.0
CBK,S90-99,1.0,0.79,0.79,0,100.0,0.0,0.79,0.79,0.0,0.79,0.0,1.0,0.0
