closed_direction,hour,pnl,wins,losses
buy,0,-10.03,0,2
buy,1,10.15,3,6
buy,2,0.17,2,1
buy,5,16.27,4,0
buy,6,-1.20,0,1
buy,7,18.77,1,0
buy,8,-29.25,0,2
buy,10,-12.50,0,1
buy,11,-25.24,2,2
buy,12,-24.98,0,1
buy,13,-8.91,1,2
buy,14,12.51,1,1
buy,15,-12.76,1,3
buy,16,53.67,2,0
buy,18,-40.01,0,4
buy,19,-50.02,0,2
buy,20,-3.76,1,3
buy,23,37.51,2,2
sell,11,-12.51,0,1
