engine,regime_tag,trades,net,gross_profit,gross_loss,win_rate,profit_factor,avg,avg_win,avg_loss,largest_win,largest_loss,win_count,loss_count
MOM,WG,5.0,-1.6500000000000001,0.33,-1.98,40.0,0.16666666666666669,-0.33,0.165,-0.66,0.31,-0.87,2.0,3.0
MOM,RG,6.0,-1.0000000000000002,1.65,-2.65,33.33333333333333,0.6226415094339622,-0.1666666666666667,0.825,-0.6625,0.95,-1.12,2.0,4.0
