side,trades,net,gross_profit,gross_loss,win_rate,profit_factor,avg,avg_win,avg_loss,largest_win,largest_loss,win_count,loss_count
sell,9.0,-1.5400000000000003,1.98,-3.52,44.44444444444444,0.5625,-0.17111111111111113,0.495,-0.704,0.95,-1.12,4.0,5.0
buy,2.0,-1.11,0,-1.11,0.0,0.0,-0.555,0.0,-0.555,0.0,-0.66,0.0,2.0
