entry_time,exit_time,entry_month,entry_date,entry_hour,side,volume,entry_price,exit_price,profit,balance,hold_minutes,exit_reason,family,engine,code,score,grade,regime_tag,hour_tag,tags,score_bucket,entry_comment,exit_comment,match_error
2026-01-28 07:17:00,2026-01-28 07:19:01,2026-01,2026-01-28,7,buy,0.01,5276.199,5278.931,2.73,97.82,2.0166666666666666,tp,AC1,IMP,IMP,79,B,,,BULL,S70-79,AC1|IMP|S79|B|BULL,tp 5278.859,2.7026800000000004
2026-03-20 10:51:00,2026-03-20 10:51:25,2026-03,2026-03-20,10,sell,0.01,4651.921,4649.193,2.73,112.02,0.4166666666666667,tp,AC1,IMP,IMP,91,A,,,BEAR,S90-99,AC1|IMP|S91|A|BEAR,tp 4649.261,2.7027199999999993
2026-01-27 07:07:00,2026-01-27 07:08:47,2026-01,2026-01-27,7,buy,0.01,5089.53,5092.254,2.72,103.05,1.7833333333333334,tp,AC1,IMP,IMP,81,B,,,BULL,S80-89,AC1|IMP|S81|B|BULL,tp 5092.190,2.6927599999999985
2026-03-19 07:58:00,2026-03-19 07:58:27,2026-03,2026-03-19,7,sell,0.01,4736.927,4734.213,2.72,115.09,0.45,tp,AC1,IMP,IMP,93,A,,,BEAR,S90-99,AC1|IMP|S93|A|BEAR,tp 4734.267,2.692860000000001
2026-03-24 05:05:00,2026-03-24 05:05:07,2026-03,2026-03-24,5,sell,0.01,4327.853,4325.126,2.72,109.22,0.11666666666666667,tp,AC1,IMP,IMP,98,A,,,BEAR,S90-99,AC1|IMP|S98|A|BEAR,tp 4325.454,2.6927300000000014
2026-01-26 07:17:00,2026-01-26 07:18:41,2026-01,2026-01-26,7,buy,0.01,5093.023,5095.725,2.71,105.75,1.6833333333333333,tp,AC1,IMP,IMP,98,A,,,BULL,S90-99,AC1|IMP|S98|A|BULL,tp 5095.683,2.682979999999998
2026-03-17 10:40:00,2026-03-17 10:42:59,2026-03,2026-03-17,10,sell,0.01,4998.639,4995.926,2.71,104.66,2.9833333333333334,tp,AC1,IMP,IMP,98,A,,,BEAR,S90-99,AC1|IMP|S98|A|BEAR,tp 4995.939,2.6828700000000025
2026-03-19 05:56:00,2026-03-19 05:56:29,2026-03,2026-03-19,5,sell,0.01,4832.432,4829.723,2.71,104.96,0.48333333333333334,tp,AC1,IMP,IMP,98,A,,,BEAR,S90-99,AC1|IMP|S98|A|BEAR,tp 4829.772,2.6829100000000015
2026-03-17 10:39:00,2026-03-17 10:40:00,2026-03,2026-03-17,10,sell,0.01,5001.579,4998.876,2.7,101.95,1.0,tp,AC1,IMP,IMP,98,A,,,BEAR,S90-99,AC1|IMP|S98|A|BEAR,tp 4998.919,2.672970000000005
2026-05-06 07:59:01,2026-05-06 07:59:35,2026-05,2026-05-06,7,buy,0.01,4677.161,4679.859,2.7,87.26,0.5666666666666667,tp,AC1,IMP,IMP,98,A,,,BULL,S90-99,AC1|IMP|S98|A|BULL,tp 4679.817,2.673019999999997
2026-01-21 05:11:00,2026-01-21 05:16:05,2026-01,2026-01-21,5,buy,0.01,4866.269,4868.955,2.69,92.22,5.083333333333333,tp,AC1,IMP,IMP,98,A,,,BULL,S90-99,AC1|IMP|S98|A|BULL,tp 4868.876,2.663140000000003
2026-01-29 05:49:00,2026-01-29 05:49:16,2026-01,2026-01-29,5,buy,0.01,5557.694,5560.379,2.69,94.81,0.26666666666666666,tp,AC1,IMP,IMP,98,A,,,BULL,S90-99,AC1|IMP|S98|A|BULL,tp 5560.365,2.6631500000000052
2026-03-19 07:23:00,2026-03-19 07:23:32,2026-03,2026-03-19,7,sell,0.01,4768.207,4765.515,2.69,104.84,0.5333333333333333,tp,AC1,IMP,IMP,98,A,,,BEAR,S90-99,AC1|IMP|S98|A|BEAR,tp 4765.547,2.66308
2026-03-20 10:56:00,2026-03-20 10:56:04,2026-03,2026-03-20,10,sell,0.01,4643.912,4641.222,2.69,112.17,0.06666666666666667,tp,AC1,IMP,IMP,98,A,,,BEAR,S90-99,AC1|IMP|S98|A|BEAR,tp 4641.252,2.6630999999999947
2026-03-23 05:22:00,2026-03-23 05:22:44,2026-03,2026-03-23,5,sell,0.01,4362.34,4359.649,2.69,112.27,0.7333333333333333,tp,AC1,IMP,IMP,98,A,,,BEAR,S90-99,AC1|IMP|S98|A|BEAR,tp 4359.680,2.6630900000000017
2026-05-06 10:54:00,2026-05-06 10:54:03,2026-05,2026-05-06,10,buy,0.01,4717.422,4720.114,2.69,94.61,0.05,tp,AC1,IMP,IMP,98,A,,,BULL,S90-99,AC1|IMP|S98|A|BULL,tp 4719.953,2.66308
