side,exit_reason,trades,net,gross_profit,gross_loss,win_rate,profit_factor,avg,avg_win,avg_loss,largest_win,largest_loss,win_count,loss_count
buy,sl,147.0,-204.32999999999998,15.64,-219.97,34.69387755102041,0.07110060462790381,-1.39,0.3066666666666667,-2.3154736842105264,0.86,-4.68,51.0,95.0
sell,sl,72.0,-111.42999999999999,8.74,-120.17,33.33333333333333,0.07273029874344679,-1.5476388888888888,0.3641666666666667,-2.5035416666666666,1.33,-3.74,24.0,48.0
sell,tp,34.0,81.47,81.47,0,100.0,0.0,2.396176470588235,2.396176470588235,0.0,3.0,0.0,34.0,0.0
buy,tp,105.0,225.31,225.31,0,100.0,0.0,2.1458095238095236,2.1458095238095236,0.0,2.99,0.0,105.0,0.0
