engine,grade,trades,net,gross_profit,gross_loss,win_rate,profit_factor,avg,avg_win,avg_loss,largest_win,largest_loss,win_count,loss_count
IMP,A,300.0,-13.299999999999995,277.8,-291.1,59.0,0.9543112332531776,-0.044333333333333315,1.569491525423729,-2.386065573770492,2.96,-4.68,177.0,122.0
CBK,A,10.0,-8.35,5.47,-13.82,50.0,0.39580318379160634,-0.835,1.0939999999999999,-2.7640000000000002,3.0,-3.4,5.0,5.0
CBK,B,3.0,-1.1399999999999997,1.8900000000000001,-3.03,66.66666666666666,0.6237623762376239,-0.3799999999999999,0.9450000000000001,-3.03,1.33,-3.03,2.0,1.0
IMP,B,45.0,13.81,46.0,-32.19,66.66666666666666,1.4290152221186705,0.3068888888888889,1.5333333333333334,-2.146,2.99,-2.81,30.0,15.0
