side,trades,net,gross_profit,gross_loss,win_rate,profit_factor,avg,avg_win,avg_loss,largest_win,largest_loss,win_count,loss_count
sell,13.0,1.77,3.73,-1.96,61.53846153846154,1.903061224489796,0.13615384615384615,0.46625,-0.392,1.15,-0.61,8.0,5.0
buy,27.0,1.82,4.0200000000000005,-2.2,62.96296296296296,1.8272727272727274,0.06740740740740742,0.23647058823529415,-0.275,0.74,-0.41,17.0,8.0
