exit_reason,trades,net,gross_profit,gross_loss,win_rate,profit_factor,avg,avg_win,avg_loss,largest_win,largest_loss,win_count,loss_count
sl,66.0,-70.68,93.79,-164.47,43.93939393939394,0.5702559737338116,-1.070909090909091,3.234137931034483,-4.445135135135135,9.77,-9.98,29.0,37.0
manual/exit_loss,5.0,-19.119999999999997,0,-19.119999999999997,0.0,0.0,-3.8239999999999994,0.0,-3.8239999999999994,0.0,-7.93,0.0,5.0
tp,12.0,84.7,84.7,0,100.0,0.0,7.058333333333334,7.058333333333334,0.0,14.89,0.0,12.0,0.0
