engine,regime_tag,trades,net,gross_profit,gross_loss,win_rate,profit_factor,avg,avg_win,avg_loss,largest_win,largest_loss,win_count,loss_count
MRV,RG,1087.0,2182828.12,4735637.08,-2552808.96,61.361545538178476,1.8550691235430323,2008.1215455381787,7099.905667166417,-6078.116571428572,50440.0,-37500.0,667.0,420.0
MRV,WG,2544.0,3962462.48,10953854.58,-6991392.1,58.333333333333336,1.5667630170534994,1557.5717295597485,7381.303625336927,-6595.652924528302,52020.0,-38700.0,1484.0,1060.0
