closed_direction,hour,pnl,wins,losses
buy,0,-1.68,1,2
buy,1,6.62,4,0
buy,2,1.12,3,0
buy,3,0.14,1,0
buy,4,6.73,3,0
buy,5,1.37,4,6
buy,6,3.74,2,2
buy,7,1.72,6,1
buy,8,0.03,1,1
buy,9,-0.20,0,1
buy,11,-0.36,0,1
buy,12,3.54,3,4
buy,13,8.76,7,2
buy,14,-2.57,2,2
buy,16,0.86,1,1
buy,17,5.01,1,0
buy,18,2.63,1,1
buy,20,-1.68,0,1
buy,22,-2.76,0,2
buy,23,-0.25,3,3
