entry_month,trades,net,gross_profit,gross_loss,win_rate,profit_factor,avg,avg_win,avg_loss,largest_win,largest_loss,win_count,loss_count
2026-01,314.0,652.53,1056.56,-404.03,65.60509554140127,2.615053337623444,2.07812101910828,5.128932038834951,-3.7410185185185183,18.27,-17.88,206.0,108.0
2026-02,425.0,16437.89,27576.420000000002,-11138.53,66.3529411764706,2.4757683464514617,38.67738823529412,97.78872340425532,-78.44035211267607,452.87,-419.36,282.0,142.0
2026-05,195.0,282648.38,1169420.0,-886771.62,51.28205128205128,1.3187386398315273,1449.4788717948718,11694.2,-9334.438105263158,39020.0,-31000.0,100.0,95.0
2026-03,552.0,321084.76,570755.56,-249670.8,61.59420289855072,2.286032487579645,581.6752898550725,1678.692823529412,-1177.6924528301886,8856.11,-8339.39,340.0,212.0
2026-04,368.0,1157209.02,2355846.22,-1198637.2,59.2391304347826,1.9654372649205283,3144.58972826087,10806.634036697249,-7990.914666666667,33522.38,-21326.84,218.0,150.0
