closed_direction,hour,pnl,wins,losses
buy,0,-1.32,0,1
buy,1,1.50,2,1
buy,3,3.24,2,0
buy,4,3.95,2,0
buy,5,5.07,3,2
buy,6,-0.97,1,2
buy,7,-1.92,1,2
buy,8,-0.01,1,1
buy,10,-1.23,2,1
buy,11,-1.27,1,1
buy,12,2.94,1,1
buy,13,1.88,3,3
buy,14,-3.32,0,4
buy,16,0.72,1,1
buy,17,3.24,1,0
buy,18,1.52,1,1
buy,20,-1.36,0,3
buy,22,-2.77,0,2
buy,23,-0.81,1,3
