exit_reason,trades,net,gross_profit,gross_loss,win_rate,profit_factor,avg,avg_win,avg_loss,largest_win,largest_loss,win_count,loss_count
sl,119.0,-124.77,28.44,-153.21,37.81512605042017,0.1856275700019581,-1.0484873949579832,0.632,-2.0987671232876712,1.54,-3.27,45.0,73.0
manual/exit_loss,4.0,-5.98,0,-5.98,0.0,0.0,-1.495,0.0,-1.495,0.0,-2.12,0.0,4.0
tp,41.0,104.0,104.0,0,100.0,0.0,2.5365853658536586,2.5365853658536586,0.0,3.52,0.0,41.0,0.0
