engine,score_bucket,trades,net,gross_profit,gross_loss,win_rate,profit_factor,avg,avg_win,avg_loss,largest_win,largest_loss,win_count,loss_count
TPL,S80-89,44.0,-21.53,26.93,-48.46,47.72727272727273,0.5557160544779199,-0.4893181818181818,1.2823809523809524,-2.2027272727272726,3.2,-2.83,21.0,22.0
TPL,S90-99,82.0,-15.679999999999998,69.05,-84.73,50.0,0.8149415791337188,-0.19121951219512193,1.6841463414634146,-2.066585365853659,3.52,-3.27,41.0,41.0
CBK,S90-99,4.0,-2.55,1.29,-3.84,50.0,0.3359375,-0.6375,0.645,-1.92,0.79,-2.58,2.0,2.0
CBK,S80-89,4.0,-0.95,2.41,-3.3600000000000003,50.0,0.7172619047619048,-0.2375,1.205,-1.6800000000000002,2.37,-1.87,2.0,2.0
TPL,S70-79,30.0,13.959999999999999,32.76,-18.8,66.66666666666666,1.7425531914893615,0.4653333333333333,1.638,-1.8800000000000001,3.5,-2.74,20.0,10.0
