exit_reason,trades,net,gross_profit,gross_loss,win_rate,profit_factor,avg,avg_win,avg_loss,largest_win,largest_loss,win_count,loss_count
sl,32.0,-47.55,4.51,-52.06,25.0,0.0866308106031502,-1.4859375,0.56375,-2.169166666666667,1.24,-3.27,8.0,24.0
tp,12.0,31.82,31.82,0,100.0,0.0,2.651666666666667,2.651666666666667,0.0,3.85,0.0,12.0,0.0
