engine,grade,trades,net,gross_profit,gross_loss,win_rate,profit_factor,avg,avg_win,avg_loss,largest_win,largest_loss,win_count,loss_count
TPL,A,42.0,-15.03,35.54,-50.57,45.23809523809524,0.7027882143563378,-0.3578571428571428,1.8705263157894736,-2.198695652173913,3.85,-3.27,19.0,23.0
CBK,A,2.0,-0.7,0.79,-1.49,50.0,0.5302013422818792,-0.35,0.79,-1.49,0.79,-1.49,1.0,1.0
