engine,regime_tag,trades,net,gross_profit,gross_loss,win_rate,profit_factor,avg,avg_win,avg_loss,largest_win,largest_loss,win_count,loss_count
TPL,,42.0,-15.03,35.54,-50.57,45.23809523809524,0.7027882143563378,-0.3578571428571428,1.8705263157894736,-2.198695652173913,3.85,-3.27,19.0,23.0
CBK,WG,1.0,-1.49,0,-1.49,0.0,0.0,-1.49,0.0,-1.49,0.0,-1.49,0.0,1.0
CBK,RG,1.0,0.79,0.79,0,100.0,0.0,0.79,0.79,0.0,0.79,0.0,1.0,0.0
