entry_time,exit_time,entry_month,entry_date,entry_hour,side,volume,entry_price,exit_price,profit,balance,hold_minutes,exit_reason,family,engine,code,score,grade,regime_tag,hour_tag,tags,score_bucket,entry_comment,exit_comment,match_error
2026-03-19 06:01:45,2026-03-19 06:35:11,2026-03,2026-03-19,6,sell,0.01,4840.623,4802.906,37.71,680.57,33.43333333333333,tp,IHB S:85 IMP,,,0,,,,,unknown,IHB S:85 IMP,tp 4802.930,37.33283
2026-03-12 12:45:01,2026-03-12 15:02:25,2026-03,2026-03-12,12,sell,0.01,5173.937,5136.385,37.55,689.18,137.4,tp,IHB S:85 IMP,,,0,,,,,unknown,IHB S:85 IMP,tp 5136.420,37.17448
2026-01-22 19:27:05,2026-01-22 23:04:27,2026-01,2026-01-22,19,buy,0.01,4914.419,4951.954,37.53,417.11,217.36666666666667,tp,IHB S:85 IMP,,,0,,,,,unknown,IHB S:85 IMP,tp 4951.930,37.154650000000004
2026-01-21 00:24:32,2026-01-21 01:19:21,2026-01,2026-01-21,0,buy,0.01,4774.817,4812.329,37.51,348.02,54.81666666666667,tp,IHB S:85 IMP,,,0,,,,,unknown,IHB S:85 IMP,tp 4812.320,37.13488
2026-03-05 13:30:00,2026-03-05 15:13:57,2026-03,2026-03-05,13,sell,0.01,5121.345,5084.334,37.02,574.34,103.95,sl,IHB DropCatch,,,0,,,,,unknown,IHB DropCatch,sl 5083.980,36.64989
2026-02-23 15:52:40,2026-02-23 20:52:40,2026-02,2026-02-23,15,buy,0.01,5195.712,5232.357,36.65,529.93,300.0,manual/exit_profit,IHB S:90 IMP,,,0,,,,,unknown,IHB S:90 IMP,,36.283550000000005
2026-01-28 06:00:00,2026-01-28 08:43:07,2026-01,2026-01-28,6,buy,0.01,5260.603,5293.011,36.43,458.28,163.11666666666667,sl,IHB S:95 IMP,,,0,,,,,unknown,IHB S:95 IMP,sl 5293.040,36.10592
2026-01-02 00:17:53,2026-01-02 05:24:28,2026-01,2026-01-02,0,buy,0.01,4346.857,4379.771,36.42,97.28,306.5833333333333,manual/exit_profit,IHB S:95 COR,,,0,,,,,unknown,IHB S:95 COR,,36.090860000000006
2026-04-28 02:00:00,2026-04-28 05:40:01,2026-04,2026-04-28,2,sell,0.01,4670.895,4636.613,34.29,755.91,220.01666666666668,tp,IHB DropCatch,,,0,,,,,unknown,IHB DropCatch,tp 4636.670,33.947179999999996
2026-01-22 19:27:07,2026-01-22 23:03:58,2026-01,2026-01-22,19,buy,0.01,4911.545,4949.06,33.58,379.58,216.85,tp,IHB S:85 IMP,,,0,,,,,unknown,IHB S:85 IMP,tp 4949.060,33.20484999999999
2026-01-28 06:05:13,2026-01-28 08:02:00,2026-01,2026-01-28,6,buy,0.01,5256.581,5294.138,33.54,421.85,116.78333333333333,tp,IHB S:85 IMP,,,0,,,,,unknown,IHB S:85 IMP,tp 5294.090,33.16443
