engine,regime_tag,trades,net,gross_profit,gross_loss,win_rate,profit_factor,avg,avg_win,avg_loss,largest_win,largest_loss,win_count,loss_count
BO,,15.0,-19.24,43.13,-62.37,46.666666666666664,0.6915183581850249,-1.2826666666666666,6.161428571428572,-7.79625,10.38,-13.76,7.0,8.0
RV,,8.0,4.82,12.39,-7.57,75.0,1.6367239101717306,0.6025,2.065,-3.785,4.66,-4.87,6.0,2.0
PB,,50.0,19.98,121.17,-101.19,54.0,1.197450340942781,0.3996,4.487777777777778,-4.399565217391304,12.98,-7.7,27.0,23.0
