side,trades,net,gross_profit,gross_loss,win_rate,profit_factor,avg,avg_win,avg_loss,largest_win,largest_loss,win_count,loss_count
sell,26.0,-38.36,38.4,-76.76,38.46153846153847,0.5002605523710265,-1.4753846153846153,3.84,-4.7975,8.84,-13.76,10.0,16.0
buy,47.0,43.92,138.29,-94.37,63.829787234042556,1.4654021405107553,0.934468085106383,4.609666666666667,-5.551176470588236,12.98,-12.34,30.0,17.0
