preset,note,report_path,net_profit,profit_pct,profit_factor,expected_payoff,total_trades,win_rate,balance_dd_pct,equity_dd_pct
buy70,Round2 champion baseline.,/Users/naufalrachmandani/Library/Application Support/net.metaquotes.wine.metatrader5/drive_c/Program Files/MetaTrader 5/Reports/InvictusForward1M15_v7_round3_buy70_XAUUSDc_M15_20260101_20260415.htm,16.14,16.14,1.53,0.22,74,52.7,7.16,8.35
buy70_pending,Buy70 plus pending manager.,/Users/naufalrachmandani/Library/Application Support/net.metaquotes.wine.metatrader5/drive_c/Program Files/MetaTrader 5/Reports/InvictusForward1M15_v7_round3_buy70_pending_XAUUSDc_M15_20260101_20260415.htm,15.86,15.86,1.58,0.23,68,54.41,6.92,7.62
buy70_breakeven,Buy70 plus breakeven manager.,/Users/naufalrachmandani/Library/Application Support/net.metaquotes.wine.metatrader5/drive_c/Program Files/MetaTrader 5/Reports/InvictusForward1M15_v7_round3_buy70_breakeven_XAUUSDc_M15_20260101_20260415.htm,15.49,15.49,1.62,0.21,74,59.46,5.8,6.3
buy70_manage_both,Buy70 plus pending and breakeven managers.,/Users/naufalrachmandani/Library/Application Support/net.metaquotes.wine.metatrader5/drive_c/Program Files/MetaTrader 5/Reports/InvictusForward1M15_v7_round3_buy70_manage_both_XAUUSDc_M15_20260101_20260415.htm,16.99,16.99,1.78,0.25,68,61.76,5.55,6.05
buy70_allsell,Buy70 plus all sell hours.,/Users/naufalrachmandani/Library/Application Support/net.metaquotes.wine.metatrader5/drive_c/Program Files/MetaTrader 5/Reports/InvictusForward1M15_v7_round3_buy70_allsell_XAUUSDc_M15_20260101_20260415.htm,16.69,16.69,1.54,0.22,77,51.95,7.13,8.31
buy70_allsell_manage,Buy70 plus all sell hours and both managers.,/Users/naufalrachmandani/Library/Application Support/net.metaquotes.wine.metatrader5/drive_c/Program Files/MetaTrader 5/Reports/InvictusForward1M15_v7_round3_buy70_allsell_manage_XAUUSDc_M15_20260101_20260415.htm,17.44,17.44,1.76,0.25,71,60.56,5.53,6.03
buy70_sideways35,Buy70 plus more permissive sideways ADX.,/Users/naufalrachmandani/Library/Application Support/net.metaquotes.wine.metatrader5/drive_c/Program Files/MetaTrader 5/Reports/InvictusForward1M15_v7_round3_buy70_sideways35_XAUUSDc_M15_20260101_20260415.htm,17.47,17.47,1.53,0.18,95,55.79,7.18,8.35
buy70_sideways35_manage,Buy70 plus sideways35 and both managers.,/Users/naufalrachmandani/Library/Application Support/net.metaquotes.wine.metatrader5/drive_c/Program Files/MetaTrader 5/Reports/InvictusForward1M15_v7_round3_buy70_sideways35_manage_XAUUSDc_M15_20260101_20260415.htm,19.78,19.78,1.81,0.22,89,62.92,5.59,6.08
buy70_r150,Buy70 plus harder risk.,/Users/naufalrachmandani/Library/Application Support/net.metaquotes.wine.metatrader5/drive_c/Program Files/MetaTrader 5/Reports/InvictusForward1M15_v7_round3_buy70_r150_XAUUSDc_M15_20260101_20260415.htm,20.13,20.13,1.51,0.26,77,51.95,9.02,10.43
buy70_r150_manage,Buy70 harder risk plus both managers.,/Users/naufalrachmandani/Library/Application Support/net.metaquotes.wine.metatrader5/drive_c/Program Files/MetaTrader 5/Reports/InvictusForward1M15_v7_round3_buy70_r150_manage_XAUUSDc_M15_20260101_20260415.htm,23.15,23.15,1.83,0.34,69,62.32,6.82,7.43
buy70_sell80_manage,Buy70 plus looser sell score and both managers.,/Users/naufalrachmandani/Library/Application Support/net.metaquotes.wine.metatrader5/drive_c/Program Files/MetaTrader 5/Reports/InvictusForward1M15_v7_round3_buy70_sell80_manage_XAUUSDc_M15_20260101_20260415.htm,16.99,16.99,1.78,0.25,68,61.76,5.55,6.05
