engine,entry_hour,trades,net,gross_profit,gross_loss,win_rate,profit_factor,avg,avg_win,avg_loss,largest_win,largest_loss,win_count,loss_count
,1,2.0,-18.0,2.54,-20.54,50.0,0.12366114897760468,-9.0,2.54,-20.54,2.54,-20.54,1.0,1.0
,12,1.0,-12.65,0,-12.65,0.0,0.0,-12.65,0.0,-12.65,0.0,-12.65,0.0,1.0
