engine,regime_tag,trades,net,gross_profit,gross_loss,win_rate,profit_factor,avg,avg_win,avg_loss,largest_win,largest_loss,win_count,loss_count
MOM,RG,12.0,-1.1099999999999999,3.45,-4.56,50.0,0.7565789473684211,-0.09249999999999999,0.5750000000000001,-0.7599999999999999,1.06,-0.99,6.0,6.0
MOM,WG,3.0,1.78,1.78,0,100.0,0.0,0.5933333333333334,0.5933333333333334,0.0,0.93,0.0,3.0,0.0
