engine,score_bucket,trades,net,gross_profit,gross_loss,win_rate,profit_factor,avg,avg_win,avg_loss,largest_win,largest_loss,win_count,loss_count
MOM,S80-89,1.0,0.03,0.03,0,100.0,0.0,0.03,0.03,0.0,0.03,0.0,1.0,0.0
MOM,S70-79,4.0,0.26,1.55,-1.29,50.0,1.2015503875968991,0.065,0.775,-0.645,0.93,-0.91,2.0,2.0
MOM,S90-99,10.0,0.38000000000000017,3.65,-3.27,60.0,1.1162079510703364,0.03800000000000002,0.6083333333333333,-0.8175,1.06,-0.99,6.0,4.0
