engine,trades,net,gross_profit,gross_loss,win_rate,profit_factor,avg,avg_win,avg_loss,largest_win,largest_loss,win_count,loss_count
CBK,10.0,-4.64,4.510000000000001,-9.15,40.0,0.49289617486338805,-0.46399999999999997,1.1275000000000002,-1.5250000000000001,2.16,-2.81,4.0,6.0
IMP,535.0,21.750000000000004,398.64,-376.89,60.93457943925233,1.0577091459046406,0.040654205607476644,1.2228220858895704,-1.8033014354066985,2.99,-3.74,326.0,209.0
