entry_month,trades,net,gross_profit,gross_loss,win_rate,profit_factor,avg,avg_win,avg_loss,largest_win,largest_loss,win_count,loss_count
2025-09,68.0,-30.45,29.09,-59.54,42.64705882352941,0.4885791064830366,-0.4477941176470588,1.003103448275862,-1.5266666666666666,1.97,-2.14,29.0,39.0
2025-07,43.0,-3.44,29.02,-32.46,55.81395348837209,0.8940234134319162,-0.08,1.2091666666666667,-1.708421052631579,2.45,-2.62,24.0,19.0
2025-11,38.0,-2.88,28.78,-31.66,57.89473684210527,0.9090334807327859,-0.07578947368421052,1.3081818181818183,-1.97875,2.19,-2.81,22.0,16.0
2025-06,32.0,-1.0099999999999998,20.3,-21.31,65.625,0.9526044110746129,-0.03156249999999999,0.9666666666666667,-1.9372727272727273,2.35,-2.44,21.0,11.0
2025-03,22.0,-0.7799999999999998,13.75,-14.53,54.54545454545454,0.9463179628355127,-0.03545454545454545,1.1458333333333333,-1.4529999999999998,1.83,-1.97,12.0,10.0
2025-08,4.0,-0.5599999999999999,1.97,-2.53,50.0,0.7786561264822135,-0.13999999999999999,0.985,-1.265,1.95,-1.64,2.0,2.0
2025-10,40.0,-0.4799999999999991,29.98,-30.46,60.0,0.9842416283650689,-0.011999999999999978,1.2491666666666668,-1.90375,2.66,-2.86,24.0,16.0
2025-02,27.0,-0.15999999999999975,16.830000000000002,-16.99,62.96296296296296,0.9905826957033551,-0.005925925925925917,0.9900000000000001,-1.6989999999999998,2.16,-2.04,17.0,10.0
2026-03,36.0,0.7800000000000005,33.57,-32.79,63.888888888888886,1.0237877401646844,0.02166666666666668,1.4595652173913043,-2.522307692307692,2.99,-3.18,23.0,13.0
2026-01,51.0,0.8000000000000004,44.51,-43.71,60.78431372549019,1.0183024479524136,0.01568627450980393,1.4358064516129032,-2.1855,2.74,-2.99,31.0,20.0
2026-05,10.0,1.1000000000000003,7.4,-6.3,70.0,1.1746031746031746,0.11000000000000003,1.0571428571428572,-2.1,2.12,-2.36,7.0,3.0
2025-12,46.0,1.5100000000000002,31.55,-30.04,60.86956521739131,1.050266311584554,0.03282608695652174,1.1267857142857143,-1.6688888888888889,2.71,-2.87,28.0,18.0
2025-05,26.0,2.3600000000000003,19.57,-17.21,57.692307692307686,1.1371295758280069,0.09076923076923078,1.3046666666666666,-1.5645454545454547,2.26,-2.28,15.0,11.0
2025-01,28.0,5.16,19.51,-14.35,64.28571428571429,1.359581881533101,0.1842857142857143,1.083888888888889,-1.435,1.59,-1.77,18.0,10.0
2026-04,8.0,9.040000000000001,10.82,-1.78,87.5,6.078651685393258,1.1300000000000001,1.5457142857142858,-1.78,2.96,-1.78,7.0,1.0
2025-04,31.0,13.97,27.2,-13.23,70.96774193548387,2.055933484504913,0.4506451612903226,1.2363636363636363,-1.47,2.68,-2.18,22.0,9.0
2026-02,35.0,22.15,39.3,-17.15,80.0,2.2915451895043732,0.6328571428571428,1.4035714285714285,-2.4499999999999997,2.97,-3.74,28.0,7.0
