engine,score_bucket,trades,net,gross_profit,gross_loss,win_rate,profit_factor,avg,avg_win,avg_loss,largest_win,largest_loss,win_count,loss_count
IMP,S80-89,89.0,-6.539999999999999,57.16,-63.7,57.30337078651685,0.897331240188383,-0.07348314606741572,1.12078431372549,-1.6763157894736842,2.77,-3.18,51.0,38.0
CBK,S80-89,5.0,-2.15,1.56,-3.71,40.0,0.42048517520215634,-0.43,0.78,-1.2366666666666666,1.34,-1.75,2.0,3.0
CBK,S90-99,4.0,-1.64,2.95,-4.59,50.0,0.6427015250544663,-0.41,1.475,-2.295,2.16,-2.81,2.0,2.0
CBK,S70-79,1.0,-0.85,0,-0.85,0.0,0.0,-0.85,0.0,-0.85,0.0,-0.85,0.0,1.0
IMP,S90-99,399.0,11.620000000000003,300.9,-289.28,61.40350877192983,1.0401686946902655,0.029122807017543866,1.2281632653061223,-1.8784415584415584,2.96,-3.74,245.0,154.0
IMP,S70-79,47.0,16.67,40.58,-23.91,63.829787234042556,1.6971978251777498,0.35468085106382985,1.3526666666666667,-1.4064705882352941,2.99,-2.74,30.0,17.0
