side,exit_reason,trades,net,gross_profit,gross_loss,win_rate,profit_factor,avg,avg_win,avg_loss,largest_win,largest_loss,win_count,loss_count
buy,sl,231.0,-243.27,27.81,-271.08,34.63203463203463,0.10258964143426295,-1.0531168831168831,0.34762499999999996,-1.7952317880794701,1.34,-3.53,80.0,151.0
sell,sl,104.0,-96.83,14.49,-111.32,41.34615384615385,0.13016528925619836,-0.9310576923076923,0.3369767441860465,-1.824918032786885,0.86,-3.74,43.0,61.0
buy,manual/exit_loss,3.0,-3.6399999999999997,0,-3.6399999999999997,0.0,0.0,-1.2133333333333332,0.0,-1.2133333333333332,0.0,-1.91,0.0,3.0
sell,tp,48.0,89.75,89.75,0,100.0,0.0,1.8697916666666667,1.8697916666666667,0.0,2.9,0.0,48.0,0.0
buy,tp,159.0,271.1,271.1,0,100.0,0.0,1.7050314465408807,1.7050314465408807,0.0,2.99,0.0,159.0,0.0
