side,exit_reason,trades,net,gross_profit,gross_loss,win_rate,profit_factor,avg,avg_win,avg_loss,largest_win,largest_loss,win_count,loss_count
buy,manual/exit_loss,52.0,-49.1,0,-49.1,0.0,0.0,-0.9442307692307692,0.0,-0.9442307692307692,0.0,-1.63,0.0,52.0
buy,sl,77.0,-27.46,7.53,-34.99,58.44155844155844,0.2152043440983138,-0.3566233766233766,0.16733333333333333,-1.0934375,0.58,-1.43,45.0,32.0
sell,manual/exit_loss,20.0,-18.98,0,-18.98,0.0,0.0,-0.9490000000000001,0.0,-0.9490000000000001,0.0,-1.2,0.0,20.0
sell,sl,40.0,-4.71,5.73,-10.44,70.0,0.5488505747126438,-0.11775,0.20464285714285715,-0.87,0.5,-1.62,28.0,12.0
buy,manual/exit_profit,1.0,0.04,0.04,0,100.0,0.0,0.04,0.04,0.0,0.04,0.0,1.0,0.0
sell,manual/exit_profit,1.0,0.12,0.12,0,100.0,0.0,0.12,0.12,0.0,0.12,0.0,1.0,0.0
sell,tp,29.0,31.580000000000002,31.580000000000002,0,100.0,0.0,1.0889655172413795,1.0889655172413795,0.0,1.53,0.0,29.0,0.0
buy,tp,44.0,53.91,53.91,0,100.0,0.0,1.2252272727272726,1.2252272727272726,0.0,1.54,0.0,44.0,0.0
