entry_month,trades,net,gross_profit,gross_loss,win_rate,profit_factor,avg,avg_win,avg_loss,largest_win,largest_loss,win_count,loss_count
2026-04,59.0,-9208.57,18930.75,-28139.32,54.23728813559322,0.672750798526759,-156.07745762711863,591.5859375,-1042.197037037037,1305.03,-1673.33,32.0,27.0
2025-06,96.0,-2497.92,5223.56,-7721.4800000000005,51.041666666666664,0.6764972518221896,-26.02,106.60326530612245,-164.2868085106383,227.15,-350.11,49.0,47.0
2025-12,80.0,-1821.37,7868.55,-9689.92,65.0,0.8120345678808494,-22.767125,151.31826923076923,-346.06857142857143,377.78,-627.55,52.0,28.0
2025-10,83.0,-147.8500000000003,13242.7,-13390.55,62.65060240963856,0.9889586312735476,-1.781325301204823,254.6673076923077,-431.9532258064516,487.67,-700.25,52.0,31.0
2025-02,49.0,190.23,505.09,-314.86,69.38775510204081,1.6041732833640348,3.8822448979591835,14.855588235294118,-20.990666666666666,23.81,-25.02,34.0,15.0
2025-03,60.0,334.57,692.03,-357.46,71.66666666666667,1.9359648632014772,5.5761666666666665,16.093720930232557,-21.027058823529412,29.49,-25.02,43.0,17.0
2025-01,54.0,432.67,629.1,-196.43,79.62962962962963,3.2026676169627857,8.012407407407407,14.630232558139536,-17.85727272727273,23.45,-25.0,43.0,11.0
2025-08,65.0,558.5099999999999,5738.39,-5179.88,66.15384615384615,1.1078229611496793,8.592461538461537,133.45093023255814,-235.44909090909093,207.55,-375.66,43.0,22.0
2026-02,48.0,882.9600000000003,12823.65,-11940.69,68.75,1.0739454755127216,18.395000000000007,388.5954545454545,-796.046,827.96,-1159.66,33.0,15.0
2025-07,61.0,1549.15,4928.53,-3379.38,73.77049180327869,1.4584124898650046,25.395901639344263,109.52288888888889,-211.21125,188.53,-275.65,45.0,16.0
2025-04,92.0,1685.37,2691.7,-1006.33,80.43478260869566,2.6747687140401255,18.31923913043478,36.37432432432432,-55.907222222222224,102.3,-124.92,74.0,18.0
2025-09,87.0,2889.42,11514.12,-8624.7,71.26436781609196,1.3350168701520053,33.211724137931036,185.7116129032258,-344.98800000000006,315.25,-500.18,62.0,25.0
2025-11,101.0,4277.94,13664.76,-9386.82,73.26732673267327,1.4557390042634248,42.35584158415841,184.6589189189189,-347.65999999999997,362.32,-626.9,74.0,27.0
2025-05,98.0,4733.46,6893.41,-2159.95,82.6530612244898,3.19146739507859,48.30061224489796,85.10382716049382,-127.05588235294117,237.99,-351.24,81.0,17.0
2026-01,86.0,11335.28,26461.35,-15126.07,77.90697674418605,1.7493869855157353,131.80558139534884,394.94552238805966,-796.108947368421,1656.0,-1102.47,67.0,19.0
2026-03,64.0,11447.51,26573.34,-15125.83,73.4375,1.7568186340848735,178.86734375,565.3902127659575,-889.7547058823529,1748.42,-1357.67,47.0,17.0
