exit_reason,trades,net,gross_profit,gross_loss,win_rate,profit_factor,avg,avg_win,avg_loss,largest_win,largest_loss,win_count,loss_count
sl,449.0,-119423.34,8086.900000000001,-127510.24,25.612472160356347,0.06342157304385906,-265.9762583518931,70.3208695652174,-381.76718562874254,827.96,-1673.33,115.0,334.0
manual/exit_loss,18.0,-4229.43,0,-4229.43,0.0,0.0,-234.96833333333336,0.0,-234.96833333333336,0.0,-1073.35,0.0,18.0
tp,95.0,36759.01,36759.01,0,100.0,0.0,386.9369473684211,386.9369473684211,0.0,1748.42,0.0,95.0,0.0
manual/exit_profit,621.0,113535.12,113535.12,0,100.0,0.0,182.8262801932367,182.8262801932367,0.0,1036.93,0.0,621.0,0.0
