engine,grade,trades,net,gross_profit,gross_loss,win_rate,profit_factor,avg,avg_win,avg_loss,largest_win,largest_loss,win_count,loss_count
MOM,A,4.0,-1.63,0.25,-1.88,25.0,0.13297872340425532,-0.4075,0.25,-0.6266666666666666,0.25,-0.76,1.0,3.0
MOM,B,4.0,-0.52,0.78,-1.3,25.0,0.6,-0.13,0.78,-0.43333333333333335,0.78,-0.64,1.0,3.0
