engine,regime_tag,trades,net,gross_profit,gross_loss,win_rate,profit_factor,avg,avg_win,avg_loss,largest_win,largest_loss,win_count,loss_count
MOM,RG,2.0,-1.31,0,-1.31,0.0,0.0,-0.655,0.0,-0.655,0.0,-0.76,0.0,2.0
MOM,WG,6.0,-0.84,1.03,-1.8699999999999999,33.33333333333333,0.5508021390374332,-0.13999999999999999,0.515,-0.46749999999999997,0.78,-0.64,2.0,4.0
