exit_reason,trades,net,gross_profit,gross_loss,win_rate,profit_factor,avg,avg_win,avg_loss,largest_win,largest_loss,win_count,loss_count
manual/exit_loss,5.0,-3.13,0,-3.13,0.0,0.0,-0.626,0.0,-0.626,0.0,-0.76,0.0,5.0
sl,2.0,0.2,0.25,-0.05,50.0,5.0,0.1,0.25,-0.05,0.25,-0.05,1.0,1.0
tp,1.0,0.78,0.78,0,100.0,0.0,0.78,0.78,0.0,0.78,0.0,1.0,0.0
