entry_hour,trades,net,gross_profit,gross_loss,win_rate,profit_factor,avg,avg_win,avg_loss,largest_win,largest_loss,win_count,loss_count
7,2.0,-0.57,0.04,-0.61,50.0,0.06557377049180328,-0.285,0.04,-0.61,0.04,-0.61,1.0,1.0
18,1.0,-0.41,0,-0.41,0.0,0.0,-0.41,0.0,-0.41,0.0,-0.41,0.0,1.0
12,1.0,-0.22,0,-0.22,0.0,0.0,-0.22,0.0,-0.22,0.0,-0.22,0.0,1.0
20,1.0,0.03,0.03,0,100.0,0.0,0.03,0.03,0.0,0.03,0.0,1.0,0.0
0,1.0,0.29,0.29,0,100.0,0.0,0.29,0.29,0.0,0.29,0.0,1.0,0.0
4,1.0,0.31,0.31,0,100.0,0.0,0.31,0.31,0.0,0.31,0.0,1.0,0.0
6,2.0,1.7599999999999998,1.7599999999999998,0,100.0,0.0,0.8799999999999999,0.8799999999999999,0.0,1.15,0.0,2.0,0.0
