side,exit_reason,trades,net,gross_profit,gross_loss,win_rate,profit_factor,avg,avg_win,avg_loss,largest_win,largest_loss,win_count,loss_count
sell,manual/exit_loss,1.0,-0.61,0,-0.61,0.0,0.0,-0.61,0.0,-0.61,0.0,-0.61,0.0,1.0
buy,manual/exit_loss,1.0,-0.41,0,-0.41,0.0,0.0,-0.41,0.0,-0.41,0.0,-0.41,0.0,1.0
buy,sl,2.0,-0.18,0.04,-0.22,50.0,0.18181818181818182,-0.09,0.04,-0.22,0.04,-0.22,1.0,1.0
buy,tp,1.0,0.29,0.29,0,100.0,0.0,0.29,0.29,0.0,0.29,0.0,1.0,0.0
sell,sl,2.0,0.33999999999999997,0.33999999999999997,0,100.0,0.0,0.16999999999999998,0.16999999999999998,0.0,0.31,0.0,2.0,0.0
sell,tp,2.0,1.7599999999999998,1.7599999999999998,0,100.0,0.0,0.8799999999999999,0.8799999999999999,0.0,1.15,0.0,2.0,0.0
